"Title","URL","Author"
"台北南門教會 6/14主日第二場台語禮拜","https://www.youtube.com/watch?v=nqtPiq1XHcQ","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2018 著祈求 5月6日","https://www.youtube.com/watch?v=Ld-wL9dp7F4","JK Tai"
"台北南門教會 7/19主日第二場台語禮拜","https://www.youtube.com/watch?v=c8uTMheA3k0","台灣基督長老教會台北南門教會"
"台北南門教會聖誕晚會2016 基石","https://www.youtube.com/watch?v=FF1vMHf6BhU","JK Tai"
"台北南門教會聖歌隊2018 哈利路亞， 讚美我主 7月1日","https://www.youtube.com/watch?v=svfr-RImUY4","JK Tai"
"台北南門教會聖歌隊2018 安息主日的歌2月18日","https://www.youtube.com/watch?v=tPH8HYxrzp8","JK Tai"
"台北南門教會聖歌隊2018 萬物讚美唱歌 11月04日","https://www.youtube.com/watch?v=a1DgbCfa9_0","JK Tai"
"20210718 主日台語禮拜","https://www.youtube.com/watch?v=lb7c8qY_eTs","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2018 有一事我曾求告主3月4日","https://www.youtube.com/watch?v=_aZz6CPl9dA","JK Tai"
"台北南門教會聖歌隊2018 為著美麗之地面 10月7日","https://www.youtube.com/watch?v=mDOm27vQodM","JK Tai"
"台北南門教會聖歌隊2018 來頌揚，樂歡呼 8月12日","https://www.youtube.com/watch?v=eeb_Ig-WSJA","JK Tai"
"20210509台南南門教會主日禮拜","https://www.youtube.com/watch?v=1Whgs5_yRw8","南門教會"
"台北南門教會聖歌隊2019 主是我之牧者 2月3日","https://www.youtube.com/watch?v=947pW10cUyI","JK Tai"
"台北南門教會聖誕晚會2016 婦女","https://www.youtube.com/watch?v=hD_3JqwaX84","JK Tai"
"台北南門教會聖歌隊2018 如鹿欣慕溪水 4月8日","https://www.youtube.com/watch?v=TffHgVq75xQ","JK Tai"
"台北南門教會聖歌隊2019 願上帝賜福閣保護你 7月28日","https://www.youtube.com/watch?v=R7feEu1c8Sg","JK Tai"
"台北南門教會聖歌隊2018 等候 12月02日","https://www.youtube.com/watch?v=IsFLXJh2yqA","JK Tai"
"台北南門教會聖誕晚會2016 少契","https://www.youtube.com/watch?v=pxV-q27oeAg","JK Tai"
"台北南門教會 5/17主日第一場華語禮拜-家庭祭壇","https://www.youtube.com/watch?v=61_vluWK0Cw","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2018 喜樂之神充滿佇我之歌聲 4月15日","https://www.youtube.com/watch?v=ljtE3axfkZM","JK Tai"
"台北南門教會聖歌隊2018 賜阮福氣到萬代2月4日","https://www.youtube.com/watch?v=wFhNMe5g0l8","JK Tai"
"20210613  主日華語禮拜","https://www.youtube.com/watch?v=XKpMEwyXEHs","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2019 聖誕讚美禮拜第一段 12月22日","https://www.youtube.com/watch?v=uPLuvTE8Dq4","JK Tai"
"台北南門教會聖歌隊2018 萬項事攏有它的時 6月3日","https://www.youtube.com/watch?v=O3md-IlPtn8","JK Tai"
"台北南門教會聖歌隊2018 主祢引導我2月11日","https://www.youtube.com/watch?v=HYH9yCZVDpI","JK Tai"
"台北南門教會聖歌隊2018 和平Tiàm佇恁 7月8日","https://www.youtube.com/watch?v=uVLWg2r7Obk","JK Tai"
"台北南門教會聖誕晚會2016 主日學","https://www.youtube.com/watch?v=k80O4LwwUoA","JK Tai"
"台北南門教會 6/21主日第二場台語禮拜","https://www.youtube.com/watch?v=plRjONvbclM","台灣基督長老教會台北南門教會"
"台北南門教會聖歌隊2018 一首歡喜快樂之歌 5月20日","https://www.youtube.com/watch?v=kAZb3i9o-yY","JK Tai"
"台北南門教會聖歌隊2018 上帝之應允 10月21日","https://www.youtube.com/watch?v=dxMM6BeJ6DI","JK Tai"
"台北南門教會聖誕晚會2016 松年","https://www.youtube.com/watch?v=4q46wC0OIFA","JK Tai"
"台北南門教會聖誕晚會2016 長青樂活","https://www.youtube.com/watch?v=WAHEf3KNtMQ","JK Tai"
"台北南門教會聖歌隊2018 主永與恁同在 6月17日","https://www.youtube.com/watch?v=ARpZGogzm8U","JK Tai"
"台北南門教會聖歌隊2018 有時咱經過美麗清靜之河墘 9月2日","https://www.youtube.com/watch?v=guhmm64HNEE","JK Tai"
"2013台北南門教會復活節禮拜聖歌隊獻詩(下)","https://www.youtube.com/watch?v=ckDTVX1zM0c","DennisHuang"
"台北南門教會聖歌隊2018 盼望之歌 8月19日","https://www.youtube.com/watch?v=qkBqP0Qlq5c","JK Tai"
"台北南門教會聖歌隊2019 願祢成做阮福氣… 7月7日","https://www.youtube.com/watch?v=J3xgAB5NSXE","JK Tai"
