"Title","URL","Time","Author","Type"
"創世記36章/陪你讀聖經《別走遠了，上帝在這裡等你》","https://www.youtube.com/watch?v=MuEEWUZ8Dj4","6036次","JAM愛的影響力","item"
"聖經簡報站：創世記25章","https://www.youtube.com/watch?v=1Pg8EJdPGA4","1.2萬次","BiblePoint .net","item"
"創世記31章/陪你讀聖經《回到與祢相遇的那天》","https://www.youtube.com/watch?v=P-txmSDn75o","6480次","JAM愛的影響力","item"
"三分钟让你知道圣经旧约《创世纪》讲什么？ 圣经说 #42 圣经导读 l Book of Genesis","https://www.youtube.com/watch?v=p4VWkFS8fQ0","582次","装备生命","item"
"聖經簡報站：創世記20-22章","https://www.youtube.com/watch?v=KDPDc8jt104","1.8萬次","BiblePoint .net","item"
"創世記39章/陪你讀聖經《有夢想，有困難，有上帝》","https://www.youtube.com/watch?v=fispFGU5fCE","5612次","JAM愛的影響力","item"
"創世記23章/陪你讀聖經《憑著信心，你可以看得更長遠》","https://www.youtube.com/watch?v=JPgMQRd6Rys","6909次","JAM愛的影響力","item"
"創世記5章/陪你讀聖經《上帝的心裡有你的名字》","https://www.youtube.com/watch?v=jXJ9OOoAyak","1.2萬次","JAM愛的影響力","item"
"200404 創世記 4章1~26節","https://www.youtube.com/watch?v=KHNhQf-Tx_8","1.6萬次","淡江教會-國度影音","item"
"創世記43章/陪你讀聖經《面對傷害，讓我們以愛相待》","https://www.youtube.com/watch?v=ChRqvfQWr5s","5944次","JAM愛的影響力","item"
"聖經簡報站：創世記9章(下)-12章(上)","https://www.youtube.com/watch?v=5PEx5PuYJFw","1.7萬次","BiblePoint .net","item"
"創世記13章/陪你讀聖經《有了上帝的祝福，你還跟人爭什麼？》","https://www.youtube.com/watch?v=HSxeN5vT-UY","9611次","JAM愛的影響力","item"
"圣经讲解创世纪第12章 Bible Genesis 12","https://www.youtube.com/watch?v=6vXkIW17HTU","1094次","讲解圣经","item"
"創世記32章/陪你讀聖經《以色列這個國家的名字是怎麼來的呢？》","https://www.youtube.com/watch?v=DFdB7nISHiM","6049次","JAM愛的影響力","item"
"創世記8章/陪你讀聖經《心的感謝，新的開始》","https://www.youtube.com/watch?v=0_wHY5H_PDY","1萬次","JAM愛的影響力","item"
"[聽聖經學英語]中英聖經 創世紀第三章 始祖犯罪 人的墮落 Genesis 3","https://www.youtube.com/watch?v=tCnlF-hmjXU","353次","[聽聖經學英語Listen to Bible]中英聖經","item"
"創世記6章/陪你讀聖經《如果有天上帝要你造方舟，你會怎麼做呢？》","https://www.youtube.com/watch?v=83W9ZvjIJR4","1.1萬次","JAM愛的影響力","item"
"創世記22章/陪你讀聖經《獻上最心愛的，你捨得嗎？》","https://www.youtube.com/watch?v=3fh_9zYp6QU","7020次","JAM愛的影響力","item"
"創世記45章/陪你讀聖經《回過頭看，上帝的愛清清楚楚》","https://www.youtube.com/watch?v=8MqaXJRbBuU","5629次","JAM愛的影響力","item"
"創世記46章/陪你讀聖經《我們的神，真的是一位願意拯救我們的神》","https://www.youtube.com/watch?v=yf2mdaoMHCU","5897次","JAM愛的影響力","item"
"圣经讲解创世纪第7章 Bible Genesis 07","https://www.youtube.com/watch?v=e38BaWaaCJE","821次","讲解圣经","item"
"創世記27章/陪你讀聖經《爭來的祝福有點辛苦》","https://www.youtube.com/watch?v=qcCn84ZePi4","7110次","JAM愛的影響力","item"
"聖經簡報站：創世記7章-9章(上)","https://www.youtube.com/watch?v=fJq3mZ2ffQU","1.6萬次","BiblePoint .net","item"
"圣经讲解创世纪第36章 Bible Genesis36","https://www.youtube.com/watch?v=A5nD43TffBE","474次","讲解圣经","item"
"創世記15章/陪你讀聖經《上帝的預備你看見了嗎？》","https://www.youtube.com/watch?v=Cm7z9TCObvY","8478次","JAM愛的影響力","item"
"創世記20章/陪你讀聖經《有神在，你可以更有安全感》","https://www.youtube.com/watch?v=lT--9C_YJbA","7277次","JAM愛的影響力","item"
"創世記7章/陪你讀聖經《恭喜你！神會保護他所愛的人》","https://www.youtube.com/watch?v=lO99LyBJmOk","1.3萬次","JAM愛的影響力","item"
"創世記50章/陪你讀聖經《上帝的心是寬容又溫暖的心》","https://www.youtube.com/watch?v=Fqg4V2qZVMI","6526次","JAM愛的影響力","item"
"創世記11章/陪你讀聖經《上帝知道驕傲有多危險》","https://www.youtube.com/watch?v=blrt35o2bMc","1萬次","JAM愛的影響力","item"
"創世記44章/陪你讀聖經《賣掉弟弟的你們，這次會怎麼做？》","https://www.youtube.com/watch?v=jcRbgrtUP8E","5684次","JAM愛的影響力","item"
"創世記48章/陪你讀聖經《讓上帝的愛成為你的傳家之寶》","https://www.youtube.com/watch?v=3AZpwG2g8YE","5477次","JAM愛的影響力","item"
"創世記49章/陪你讀聖經《為上帝做個不一樣的人》","https://www.youtube.com/watch?v=eacvz1WWqKU","5517次","JAM愛的影響力","item"
"圣经讲解创世纪第02章 Bible Genesis02","https://www.youtube.com/watch?v=dia-4RqiyMw","1483次","讲解圣经","item"
"創世記24章/陪你讀聖經《讓上帝幫助你，完成不可能的任務》","https://www.youtube.com/watch?v=O9ov_EZ14YY","8158次","JAM愛的影響力","item"
"創世記29章/陪你讀聖經《上帝看顧在角落畫圈圈的你》","https://www.youtube.com/watch?v=masdoKuDugk","6407次","JAM愛的影響力","item"
"創世記33章/陪你讀聖經《雅各以掃大和解，你的解了沒？》","https://www.youtube.com/watch?v=Wa9pdqbXBPU","5942次","JAM愛的影響力","item"
"圣经讲解创世纪第37章 Bible Genesis37","https://www.youtube.com/watch?v=T_1grj1ckrU","811次","讲解圣经","item"
"華語舊約聖經 創世紀       第 4  章    現代中文譯本2019版","https://www.youtube.com/watch?v=YYRRwCT3Hsk","25次","蘇俊雄","item"
"創世記18章/陪你讀聖經《祝福大到讓你不敢相信嗎？》","https://www.youtube.com/watch?v=azDQNr1upHo","8122次","JAM愛的影響力","item"
"創世記42章/陪你讀聖經《傷了你的心，卻傷不了你心中的愛》","https://www.youtube.com/watch?v=Mfe5o3mDDIM","6753次","JAM愛的影響力","item"
"圣经讲解创世纪第34章01 Bible Genesis34","https://www.youtube.com/watch?v=Z7W6V28RS68","347次","讲解圣经","item"
"華語舊約聖經 創世紀     第 2 章 現代中文譯本2019版","https://www.youtube.com/watch?v=boER_ZgXFQk","18次","蘇俊雄","item"
"圣经讲解创世纪第34章02 Bible Genesis34","https://www.youtube.com/watch?v=CD-HdEMnPWk","224次","讲解圣经","item"
"華語舊約聖經 創世紀 第 5 章 現代中文譯本2019版","https://www.youtube.com/watch?v=fsGEwNXjc9w","10次","蘇俊雄","item"
"圣经讲解创世纪第41章 Bible Genesis41","https://www.youtube.com/watch?v=gQ2o4EB97x0","806次","讲解圣经","item"
"創世記10章/陪你讀聖經《上帝所愛的一家人蒙受祝福》","https://www.youtube.com/watch?v=-A3fS3wm2Uk","1萬次","JAM愛的影響力","item"
"創世記16章/陪你讀聖經《上帝應該要我這麼做吧？》","https://www.youtube.com/watch?v=cldyNcNqceg","8084次","JAM愛的影響力","item"
"圣经-创世纪29-30章","https://www.youtube.com/watch?v=Dyw6zmmtvAg","1371次","睚鲁的圣经世界","item"
"01：台語~有聲聖經~創世記 01~50 章","https://www.youtube.com/watch?v=TEUQWdetbvI","1510次","阿堡","item"
"[聽聖經學英語]中英聖經 創世紀第七章  挪亞方舟(2/4)  Genesis 7","https://www.youtube.com/watch?v=OxOu-HDpmy0","88次","[聽聖經學英語Listen to Bible]中英聖經","item"
"[聽聖經學英語]中英聖經 創世紀第二十四章 以撒與利百加 Genesis 24","https://www.youtube.com/watch?v=sNTpp9SUecQ","60次","[聽聖經學英語Listen to Bible]中英聖經","item"
"200402 創世記 2章4~25節","https://www.youtube.com/watch?v=FFB8RGuKxg0","1.9萬次","淡江教會-國度影音","item"
"[聽聖經學英語]中英聖經 創世紀第十章 挪亞的後代 Genesis 10","https://www.youtube.com/watch?v=HCGpy2Tdd5c","80次","[聽聖經學英語Listen to Bible]中英聖經","item"
"創世記40章/陪你讀聖經《別擔心，我的上帝可以幫助你》","https://www.youtube.com/watch?v=NTi8cyhSzFg","5539次","JAM愛的影響力","item"
"创世纪 第一章 # 圣经阅读 # 听圣经 # 旧约圣经 # 每日读经","https://www.youtube.com/watch?v=Uo97Z4qEErY","225次","Meiha Christian Chanel 每哈 매하","item"
"英文聖經語法和讀音詳細解讀！創世紀01","https://www.youtube.com/watch?v=Cpzvymrbi0k","129次","美國加納英語","item"
"【震撼】舊約聖經中記載的人類起源才是真實的 | 老高與小茉 Mr & Mrs Gao","https://www.youtube.com/watch?v=iEeBnhMadkk","505萬次","老高與小茉 Mr & Mrs Gao","item"
"圣经讲解创世纪第44章 Bible Genesis44","https://www.youtube.com/watch?v=UL9KFrshVp0","661次","讲解圣经","item"
"圣经讲解创世纪第17章 Bible Genesis17","https://www.youtube.com/watch?v=087P9EdI1Xg","1084次","讲解圣经","item"
"圣经讲解创世纪第45章 Bible Genesis45","https://www.youtube.com/watch?v=hEK5EzX-x6Q","889次","讲解圣经","item"
"[聽聖經學英語]中英聖經 創世紀第二十五章 雅各與以掃 Genesis 25","https://www.youtube.com/watch?v=KLXzeorOmjs","47次","[聽聖經學英語Listen to Bible]中英聖經","item"
"圣经讲解创世纪第19章 Bible Genesis19","https://www.youtube.com/watch?v=-El1QhfZf7E","836次","讲解圣经","item"
"空中聖經學院~創世記(20)-十二章","https://www.youtube.com/watch?v=B5_wzJlDdR4","9416次","GOOD TV 好消息電視台","item"
